NGC189;00h39.6m;+61°06';Carina;Open Cluster;8.8;5';Caroline Herschel
IC1805;02h32.7m;+61°27’;Cassiopea;Diffuse Nebula;6.5;Heart Nebula;Distance: 7500 L.Years
IC1848;02h51.1m;+64°24.51’;Cassiopea;Diffuse Nebula;6.5;Anima Nebula;Distance: 7500 L.Years
